Word,Clickbait,Non-clickbait,Clickbait probability,Non-Clickbait probability,Clickbait normal probability,Non-clickbait normal probability
"should",98,3,0.970,0.030,0.966,0.034
"i",29,3,0.906,0.094,0.894,0.106
"get",43,6,0.878,0.122,0.870,0.130
"bings",1,0,1.000,0.000,0.750,0.250
"which",120,0,1.000,0.000,0.996,0.004
"tv",17,13,0.567,0.433,0.565,0.435
"female",3,0,1.000,0.000,0.875,0.125
"friend",6,0,1.000,0.000,0.929,0.071
"group",8,17,0.320,0.680,0.327,0.673
"do",104,1,0.990,0.010,0.986,0.014
"you",647,1,0.998,0.002,0.998,0.002
"belong",13,0,1.000,0.000,0.964,0.036
"in",277,596,0.317,0.683,0.318,0.682
"the",667,188,0.780,0.220,0.780,0.220
"new",74,113,0.396,0.604,0.396,0.604
"star",25,10,0.714,0.286,0.708,0.292
"wars:",3,0,1.000,0.000,0.875,0.125
"force",5,4,0.556,0.444,0.550,0.450
"awakens",5,0,1.000,0.000,0.917,0.083
"trailer",10,0,1.000,0.000,0.955,0.045
"is",212,72,0.746,0.254,0.746,0.254
"here",18,0,1.000,0.000,0.974,0.026
"to",424,468,0.475,0.525,0.475,0.525
"give",13,6,0.684,0.316,0.675,0.325
"chills",1,0,1.000,0.000,0.750,0.250
"this",260,8,0.970,0.030,0.968,0.032
"vine",5,0,1.000,0.000,0.917,0.083
"of",340,331,0.507,0.493,0.507,0.493
"york",4,14,0.222,0.778,0.237,0.763
"on",208,182,0.533,0.467,0.533,0.467
"celebrity",19,0,1.000,0.000,0.975,0.025
"big",9,9,0.500,0.500,0.500,0.500
"brother",3,0,1.000,0.000,0.875,0.125
"fucking",7,0,1.000,0.000,0.937,0.063
"perfect",22,0,1.000,0.000,0.978,0.022
"a",361,184,0.662,0.338,0.662,0.338
"couple",7,3,0.700,0.300,0.682,0.318
"did",14,1,0.933,0.067,0.906,0.094
"stunning",6,0,1.000,0.000,0.929,0.071
"photo",14,1,0.933,0.067,0.906,0.094
"shoot",4,1,0.800,0.200,0.750,0.250
"with",155,89,0.635,0.365,0.635,0.365
"their",84,15,0.848,0.152,0.845,0.155
"baby",8,5,0.615,0.385,0.607,0.393
"after",21,89,0.191,0.809,0.194,0.806
"learning",1,0,1.000,0.000,0.750,0.250
"she",17,1,0.944,0.056,0.921,0.079
"had",31,3,0.912,0.088,0.900,0.100
"an",51,18,0.739,0.261,0.736,0.264
"inoperable",1,0,1.000,0.000,0.750,0.250
"brain",4,0,1.000,0.000,0.900,0.100
"tumor",1,0,1.000,0.000,0.750,0.250
"how",155,6,0.963,0.037,0.960,0.040
"flirt",1,0,1.000,0.000,0.750,0.250
"queer",5,0,1.000,0.000,0.917,0.083
"girls",18,3,0.857,0.143,0.841,0.159
"without",10,7,0.588,0.412,0.583,0.417
"making",9,1,0.900,0.100,0.864,0.136
"total",2,1,0.667,0.333,0.625,0.375
"fool",1,0,1.000,0.000,0.750,0.250
"yourself",6,0,1.000,0.000,0.929,0.071
"32",5,0,1.000,0.000,0.917,0.083
"cute",17,0,1.000,0.000,0.972,0.028
"things",119,1,0.992,0.008,0.988,0.012
"distract",1,0,1.000,0.000,0.750,0.250
"from",111,72,0.607,0.393,0.606,0.394
"your",309,6,0.981,0.019,0.979,0.021
"awkward",8,1,0.889,0.111,0.850,0.150
"thanksgiving",15,0,1.000,0.000,0.969,0.031
"if",56,1,0.982,0.018,0.974,0.026
"disney",22,0,1.000,0.000,0.978,0.022
"princesses",4,0,1.000,0.000,0.900,0.100
"were",42,4,0.913,0.087,0.904,0.096
"florida",1,8,0.111,0.889,0.150,0.850
"what's",22,0,1.000,0.000,0.978,0.022
"quote",3,0,1.000,0.000,0.875,0.125
"or",64,12,0.842,0.158,0.838,0.162
"lyric",2,0,1.000,0.000,0.833,0.167
"that",215,12,0.947,0.053,0.945,0.055
"best",64,1,0.985,0.015,0.977,0.023
"describes",2,0,1.000,0.000,0.833,0.167
"depression",9,1,0.900,0.100,0.864,0.136
"natalie",3,0,1.000,0.000,0.875,0.125
"dormer",3,0,1.000,0.000,0.875,0.125
"and",221,146,0.602,0.398,0.602,0.398
"sam",1,0,1.000,0.000,0.750,0.250
"claflin",1,0,1.000,0.000,0.750,0.250
"play",6,2,0.750,0.250,0.722,0.278
"game",32,15,0.681,0.319,0.677,0.323
"see",29,1,0.967,0.033,0.952,0.048
"they'd",1,0,1.000,0.000,0.750,0.250
"actually",85,0,1.000,0.000,0.994,0.006
"last",17,2,0.895,0.105,0.875,0.125
"hunger",3,1,0.750,0.250,0.700,0.300
"games",5,9,0.357,0.643,0.367,0.633
"16",39,1,0.975,0.025,0.963,0.037
"responses",2,0,1.000,0.000,0.833,0.167
"indian",5,7,0.417,0.583,0.423,0.577
"patriarchy",1,0,1.000,0.000,0.750,0.250
"21",88,3,0.967,0.033,0.962,0.038
"times",75,4,0.949,0.051,0.944,0.056
"died",3,2,0.600,0.400,0.583,0.417
"during",23,11,0.676,0.324,0.671,0.329
"captain",1,1,0.500,0.500,0.500,0.500
"america:",1,0,1.000,0.000,0.750,0.250
"civil",1,3,0.250,0.750,0.300,0.700
"war",2,21,0.087,0.913,0.104,0.896
"teaser",2,0,1.000,0.000,0.833,0.167
"17",94,3,0.969,0.031,0.964,0.036
"kourtney",1,0,1.000,0.000,0.750,0.250
"kardashian",7,0,1.000,0.000,0.937,0.063
"shut",5,5,0.500,0.500,0.500,0.500
"down",8,19,0.296,0.704,0.304,0.696
"her",35,4,0.897,0.103,0.887,0.113
"own",7,2,0.778,0.222,0.750,0.250
"family",7,9,0.438,0.562,0.441,0.559
"does",4,3,0.571,0.429,0.562,0.438
"coffee",3,0,1.000,0.000,0.875,0.125
"make",99,6,0.943,0.057,0.939,0.061
"poop",1,0,1.000,0.000,0.750,0.250
"who",137,8,0.945,0.055,0.942,0.058
"ex",2,0,1.000,0.000,0.833,0.167
"based",87,2,0.978,0.022,0.972,0.028
"zodiac",39,0,1.000,0.000,0.987,0.013
"hairdresser",2,0,1.000,0.000,0.833,0.167
"struggles",13,2,0.867,0.133,0.844,0.156
"every",51,0,1.000,0.000,0.990,0.010
"black",13,1,0.929,0.071,0.900,0.100
"girl",16,5,0.762,0.238,0.750,0.250
"knows",4,0,1.000,0.000,0.900,0.100
"be",69,34,0.670,0.330,0.668,0.332
"true",12,0,1.000,0.000,0.962,0.038
"are",272,19,0.935,0.065,0.933,0.067
"more",37,29,0.561,0.439,0.560,0.440
"walter",1,0,1.000,0.000,0.750,0.250
"white",5,7,0.417,0.583,0.423,0.577
"heisenberg",1,0,1.000,0.000,0.750,0.250
"most",53,5,0.914,0.086,0.907,0.093
"canadian",8,18,0.308,0.692,0.315,0.685
"groom",2,0,1.000,0.000,0.833,0.167
"ever",43,1,0.977,0.023,0.967,0.033
"left",2,2,0.500,0.500,0.500,0.500
"his",46,17,0.730,0.270,0.727,0.273
"wedding",16,0,1.000,0.000,0.971,0.029
"plow",1,0,1.000,0.000,0.750,0.250
"out",54,21,0.720,0.280,0.717,0.283
"guests",2,0,1.000,0.000,0.833,0.167
"snow",2,0,1.000,0.000,0.833,0.167
"storm",3,11,0.214,0.786,0.233,0.767
"here's",58,0,1.000,0.000,0.992,0.008
"one",26,26,0.500,0.500,0.500,0.500
"really",38,0,1.000,0.000,0.987,0.013
"weird",12,0,1.000,0.000,0.962,0.038
"thing",17,0,1.000,0.000,0.972,0.028
"about",134,16,0.893,0.107,0.891,0.109
"butterfree",1,0,1.000,0.000,0.750,0.250
"15",47,4,0.922,0.078,0.913,0.087
"resolutions",2,0,1.000,0.000,0.833,0.167
"good",13,3,0.812,0.188,0.794,0.206
"2016",23,0,1.000,0.000,0.979,0.021
"what",150,2,0.987,0.013,0.984,0.016
"try",24,5,0.828,0.172,0.817,0.183
"zoo",1,0,1.000,0.000,0.750,0.250
"animals",11,2,0.846,0.154,0.821,0.179
"around",7,7,0.500,0.500,0.500,0.500
"world",24,30,0.444,0.556,0.445,0.555
"opening",1,3,0.250,0.750,0.300,0.700
"christmas",27,3,0.900,0.100,0.887,0.113
"presents",2,0,1.000,0.000,0.833,0.167
"early",6,4,0.600,0.400,0.591,0.409
"tell",23,3,0.885,0.115,0.870,0.130
"us",29,84,0.257,0.743,0.259,0.741
"yourself(ie):",3,0,1.000,0.000,0.875,0.125
"erica",1,0,1.000,0.000,0.750,0.250
"ash",1,0,1.000,0.000,0.750,0.250
"9",11,2,0.846,0.154,0.821,0.179
"cried",2,0,1.000,0.000,0.833,0.167
"vegetarian",2,0,1.000,0.000,0.833,0.167
"dump",4,0,1.000,0.000,0.900,0.100
"dinners",8,0,1.000,0.000,0.944,0.056
"for",167,225,0.426,0.574,0.426,0.574
"crock",2,0,1.000,0.000,0.833,0.167
"pot",2,0,1.000,0.000,0.833,0.167
"goat",1,0,1.000,0.000,0.750,0.250
"has",38,10,0.792,0.208,0.786,0.214
"been",15,0,1.000,0.000,0.969,0.031
"bullying",2,0,1.000,0.000,0.833,0.167
"tiger",1,1,0.500,0.500,0.500,0.500
"8",12,4,0.750,0.250,0.735,0.265
"fall",26,7,0.788,0.212,0.779,0.221
"shows",7,9,0.438,0.562,0.441,0.559
"excited",3,0,1.000,0.000,0.875,0.125
"10",16,6,0.727,0.273,0.717,0.283
"chance",2,2,0.500,0.500,0.500,0.500
"6",6,5,0.545,0.455,0.542,0.458
"avoid",1,3,0.250,0.750,0.300,0.700
"another",2,10,0.167,0.833,0.192,0.808
"round",2,5,0.286,0.714,0.312,0.688
"episode",11,1,0.917,0.083,0.885,0.115
"25:",1,0,1.000,0.000,0.750,0.250
"stop",10,4,0.714,0.286,0.700,0.300
"telling",1,1,0.500,0.500,0.500,0.500
"women",27,8,0.771,0.229,0.764,0.236
"smile",3,0,1.000,0.000,0.875,0.125
"signs",7,6,0.538,0.462,0.536,0.464
"too",37,2,0.949,0.051,0.937,0.063
"stubborn",1,0,1.000,0.000,0.750,0.250
"live",21,3,0.875,0.125,0.860,0.140
"country",5,1,0.833,0.167,0.786,0.214
"singer",2,6,0.250,0.750,0.278,0.722
"makes",7,11,0.389,0.611,0.395,0.605
"music",13,9,0.591,0.409,0.587,0.413
"boy",3,2,0.600,0.400,0.583,0.417
"spare",1,0,1.000,0.000,0.750,0.250
"time",43,9,0.827,0.173,0.821,0.179
"when",53,4,0.930,0.070,0.922,0.078
"realize",2,0,1.000,0.000,0.833,0.167
"guy",19,0,1.000,0.000,0.975,0.025
"taken",1,3,0.250,0.750,0.300,0.700
"awesome",6,0,1.000,0.000,0.929,0.071
"look",31,3,0.912,0.088,0.900,0.100
"at",65,139,0.319,0.681,0.320,0.680
"behind-the-scenes",3,0,1.000,0.000,0.875,0.125
"concept",1,0,1.000,0.000,0.750,0.250
"art",4,1,0.800,0.200,0.750,0.250
"aladdin",3,0,1.000,0.000,0.875,0.125
"sarah",2,0,1.000,0.000,0.833,0.167
"jessica",4,0,1.000,0.000,0.900,0.100
"parker",2,0,1.000,0.000,0.833,0.167
"talks",1,12,0.077,0.923,0.107,0.893
"being",22,4,0.846,0.154,0.833,0.167
"carrie",2,0,1.000,0.000,0.833,0.167
"hocus",3,0,1.000,0.000,0.875,0.125
"pocus",3,0,1.000,0.000,0.875,0.125
"love",36,0,1.000,0.000,0.986,0.014
"type",5,0,1.000,0.000,0.917,0.083
"swearer",1,0,1.000,0.000,0.750,0.250
"dad",14,1,0.933,0.067,0.906,0.094
"recorded",2,0,1.000,0.000,0.833,0.167
"all",77,6,0.928,0.072,0.923,0.077
"adorable",15,0,1.000,0.000,0.969,0.031
"questions",29,3,0.906,0.094,0.894,0.106
"son",3,4,0.429,0.571,0.437,0.563
"asked",12,1,0.923,0.077,0.893,0.107
"watching",5,0,1.000,0.000,0.917,0.083
"wars",12,2,0.857,0.143,0.833,0.167
"first",31,31,0.500,0.500,0.500,0.500
"29",13,2,0.867,0.133,0.844,0.156
"impossibly",5,0,1.000,0.000,0.917,0.083
"stylish",3,0,1.000,0.000,0.875,0.125
"cat",16,1,0.941,0.059,0.917,0.083
"gifts",24,0,1.000,0.000,0.980,0.020
"order",2,2,0.500,0.500,0.500,0.500
"awesomeness",1,0,1.000,0.000,0.750,0.250
"13",27,6,0.818,0.182,0.809,0.191
"glorious",3,0,1.000,0.000,0.875,0.125
"made-up",1,0,1.000,0.000,0.750,0.250
"words",20,2,0.909,0.091,0.891,0.109
"literature",4,0,1.000,0.000,0.900,0.100
"we",108,0,1.000,0.000,0.995,0.005
"pranked",4,0,1.000,0.000,0.900,0.100
"bunch",5,0,1.000,0.000,0.917,0.083
"people",129,11,0.921,0.079,0.918,0.082
"by",38,65,0.369,0.631,0.370,0.630
"dropping",1,1,0.500,0.500,0.500,0.500
"iphone",3,3,0.500,0.500,0.500,0.500
"front",3,0,1.000,0.000,0.875,0.125
"them",11,2,0.846,0.154,0.821,0.179
"23",47,1,0.979,0.021,0.969,0.031
"flaws",1,0,1.000,0.000,0.750,0.250
"sneakerhead",1,0,1.000,0.000,0.750,0.250
"know",99,1,0.990,0.010,0.985,0.015
"sign",37,5,0.881,0.119,0.872,0.128
"choose",4,1,0.800,0.200,0.750,0.250
"grimes",1,0,1.000,0.000,0.750,0.250
"album",7,3,0.700,0.300,0.682,0.318
"heartbreaking",5,0,1.000,0.000,0.917,0.083
