Word,Clickbait,Non-clickbait,Clickbait probability,Non-Clickbait probability,Clickbait normal probability,Non-clickbait normal probability
"should",176,3,0.983,0.017,0.981,0.019
"i",69,3,0.958,0.042,0.952,0.048
"get",87,11,0.888,0.112,0.884,0.116
"bings",1,0,1.000,0.000,0.750,0.250
"which",219,2,0.991,0.009,0.989,0.011
"tv",35,29,0.547,0.453,0.546,0.454
"female",7,2,0.778,0.222,0.750,0.250
"friend",17,1,0.944,0.056,0.921,0.079
"group",14,31,0.311,0.689,0.315,0.685
"do",183,5,0.973,0.027,0.971,0.029
"you",1278,7,0.995,0.005,0.994,0.006
"belong",18,0,1.000,0.000,0.974,0.026
"in",532,1203,0.307,0.693,0.307,0.693
"the",1328,390,0.773,0.227,0.773,0.227
"new",138,221,0.384,0.616,0.385,0.615
"star",57,14,0.803,0.197,0.799,0.201
"wars:",8,0,1.000,0.000,0.944,0.056
"force",13,12,0.520,0.480,0.519,0.481
"awakens",13,0,1.000,0.000,0.964,0.036
"trailer",22,0,1.000,0.000,0.978,0.022
"is",420,135,0.757,0.243,0.756,0.244
"here",32,0,1.000,0.000,0.985,0.015
"to",853,904,0.485,0.515,0.485,0.515
"give",29,9,0.763,0.237,0.756,0.244
"chills",2,0,1.000,0.000,0.833,0.167
"this",508,13,0.975,0.025,0.974,0.026
"vine",5,0,1.000,0.000,0.917,0.083
"of",669,714,0.484,0.516,0.484,0.516
"york",11,25,0.306,0.694,0.311,0.689
"on",396,354,0.528,0.472,0.528,0.472
"celebrity",37,1,0.974,0.026,0.962,0.038
"big",12,19,0.387,0.613,0.391,0.609
"brother",4,2,0.667,0.333,0.643,0.357
"fucking",17,0,1.000,0.000,0.972,0.028
"perfect",42,1,0.977,0.023,0.966,0.034
"a",730,365,0.667,0.333,0.667,0.333
"couple",15,4,0.789,0.211,0.775,0.225
"did",25,2,0.926,0.074,0.911,0.089
"stunning",11,1,0.917,0.083,0.885,0.115
"photo",28,3,0.903,0.097,0.891,0.109
"shoot",7,1,0.875,0.125,0.833,0.167
"with",286,180,0.614,0.386,0.613,0.387
"their",142,28,0.835,0.165,0.833,0.167
"baby",21,7,0.750,0.250,0.741,0.259
"after",35,163,0.177,0.823,0.178,0.822
"learning",1,0,1.000,0.000,0.750,0.250
"she",33,1,0.971,0.029,0.957,0.043
"had",58,6,0.906,0.094,0.900,0.100
"an",105,39,0.729,0.271,0.728,0.272
"inoperable",1,0,1.000,0.000,0.750,0.250
"brain",8,2,0.800,0.200,0.773,0.227
"tumor",1,1,0.500,0.500,0.500,0.500
"how",265,11,0.960,0.040,0.958,0.042
"flirt",2,0,1.000,0.000,0.833,0.167
"queer",5,0,1.000,0.000,0.917,0.083
"girls",43,6,0.878,0.122,0.870,0.130
"without",18,9,0.667,0.333,0.661,0.339
"making",18,3,0.857,0.143,0.841,0.159
"total",4,1,0.800,0.200,0.750,0.250
"fool",2,0,1.000,0.000,0.833,0.167
