Word,Clickbait,Non-clickbait,Clickbait probability,Non-Clickbait probability,Clickbait normal probability,Non-clickbait normal probability
"should",31,1,0.969,0.031,0.955,0.045
"i",6,1,0.857,0.143,0.812,0.188
"get",12,1,0.923,0.077,0.893,0.107
"bings",1,0,1.000,0.000,0.750,0.250
"which",30,0,1.000,0.000,0.984,0.016
"tv",4,1,0.800,0.200,0.750,0.250
"female",1,0,1.000,0.000,0.750,0.250
"friend",3,0,1.000,0.000,0.875,0.125
"group",2,5,0.286,0.714,0.312,0.688
"do",31,0,1.000,0.000,0.984,0.016
"you",170,1,0.994,0.006,0.991,0.009
"belong",2,0,1.000,0.000,0.833,0.167
"in",64,142,0.311,0.689,0.312,0.688
"the",162,46,0.779,0.221,0.778,0.222
"new",20,38,0.345,0.655,0.347,0.653
"star",8,3,0.727,0.273,0.708,0.292
"wars:",1,0,1.000,0.000,0.750,0.250
"force",1,1,0.500,0.500,0.500,0.500
"awakens",1,0,1.000,0.000,0.750,0.250
"trailer",3,0,1.000,0.000,0.875,0.125
"is",48,18,0.727,0.273,0.724,0.276
"here",3,0,1.000,0.000,0.875,0.125
"to",120,104,0.536,0.464,0.536,0.464
"give",4,0,1.000,0.000,0.900,0.100
"chills",1,0,1.000,0.000,0.750,0.250
"this",50,2,0.962,0.038,0.953,0.047
"vine",2,0,1.000,0.000,0.833,0.167
"of",89,82,0.520,0.480,0.520,0.480
"york",4,6,0.400,0.600,0.409,0.591
"on",54,38,0.587,0.413,0.586,0.414
"celebrity",6,0,1.000,0.000,0.929,0.071
"big",5,2,0.714,0.286,0.687,0.313
"brother",1,0,1.000,0.000,0.750,0.250
"fucking",2,0,1.000,0.000,0.833,0.167
"perfect",5,0,1.000,0.000,0.917,0.083
"a",94,44,0.681,0.319,0.680,0.320
"couple",2,2,0.500,0.500,0.500,0.500
"did",3,0,1.000,0.000,0.875,0.125
"stunning",1,0,1.000,0.000,0.750,0.250
"photo",4,0,1.000,0.000,0.900,0.100
"shoot",2,1,0.667,0.333,0.625,0.375
"with",39,21,0.650,0.350,0.648,0.352
"their",20,4,0.833,0.167,0.820,0.180
"baby",3,1,0.750,0.250,0.700,0.300
"after",6,26,0.188,0.812,0.197,0.803
"learning",1,0,1.000,0.000,0.750,0.250
"she",6,0,1.000,0.000,0.929,0.071
"had",8,1,0.889,0.111,0.850,0.150
"an",18,5,0.783,0.217,0.771,0.229
"inoperable",1,0,1.000,0.000,0.750,0.250
"brain",3,0,1.000,0.000,0.875,0.125
"tumor",1,0,1.000,0.000,0.750,0.250
"how",46,2,0.958,0.042,0.949,0.051
"flirt",1,0,1.000,0.000,0.750,0.250
"queer",1,0,1.000,0.000,0.750,0.250
"girls",5,1,0.833,0.167,0.786,0.214
"without",1,1,0.500,0.500,0.500,0.500
"making",4,0,1.000,0.000,0.900,0.100
"total",2,1,0.667,0.333,0.625,0.375
"fool",1,0,1.000,0.000,0.750,0.250
"yourself",1,0,1.000,0.000,0.750,0.250
"32",2,0,1.000,0.000,0.833,0.167
"cute",3,0,1.000,0.000,0.875,0.125
"things",33,0,1.000,0.000,0.985,0.015
"distract",1,0,1.000,0.000,0.750,0.250
"from",29,21,0.580,0.420,0.578,0.422
"your",80,1,0.988,0.012,0.982,0.018
"awkward",3,0,1.000,0.000,0.875,0.125
"thanksgiving",4,0,1.000,0.000,0.900,0.100
"if",18,0,1.000,0.000,0.974,0.026
"disney",5,0,1.000,0.000,0.917,0.083
"princesses",2,0,1.000,0.000,0.833,0.167
"were",12,0,1.000,0.000,0.962,0.038
"florida",1,0,1.000,0.000,0.750,0.250
"what's",6,0,1.000,0.000,0.929,0.071
"quote",1,0,1.000,0.000,0.750,0.250
"or",18,2,0.900,0.100,0.881,0.119
"lyric",1,0,1.000,0.000,0.750,0.250
"that",49,3,0.942,0.058,0.934,0.066
"best",15,0,1.000,0.000,0.969,0.031
"describes",1,0,1.000,0.000,0.750,0.250
"depression",3,1,0.750,0.250,0.700,0.300
"natalie",1,0,1.000,0.000,0.750,0.250
"dormer",1,0,1.000,0.000,0.750,0.250
"and",50,32,0.610,0.390,0.608,0.392
"sam",1,0,1.000,0.000,0.750,0.250
"claflin",1,0,1.000,0.000,0.750,0.250
"play",2,0,1.000,0.000,0.833,0.167
"game",8,5,0.615,0.385,0.607,0.393
"see",9,0,1.000,0.000,0.950,0.050
"they'd",1,0,1.000,0.000,0.750,0.250
"actually",19,0,1.000,0.000,0.975,0.025
"last",9,0,1.000,0.000,0.950,0.050
"hunger",2,0,1.000,0.000,0.833,0.167
"games",2,1,0.667,0.333,0.625,0.375
"16",6,0,1.000,0.000,0.929,0.071
"responses",1,0,1.000,0.000,0.750,0.250
"indian",3,3,0.500,0.500,0.500,0.500
"patriarchy",1,0,1.000,0.000,0.750,0.250
"21",19,0,1.000,0.000,0.975,0.025
"times",19,3,0.864,0.136,0.848,0.152
"died",1,1,0.500,0.500,0.500,0.500
"during",7,3,0.700,0.300,0.682,0.318
"captain",1,0,1.000,0.000,0.750,0.250
"america:",1,0,1.000,0.000,0.750,0.250
"civil",1,2,0.333,0.667,0.375,0.625
"war",2,9,0.182,0.818,0.208,0.792
"teaser",1,0,1.000,0.000,0.750,0.250
"17",24,1,0.960,0.040,0.942,0.058
"kourtney",1,0,1.000,0.000,0.750,0.250
"kardashian",5,0,1.000,0.000,0.917,0.083
"shut",2,2,0.500,0.500,0.500,0.500
"down",3,9,0.250,0.750,0.269,0.731
"her",9,0,1.000,0.000,0.950,0.050
"own",2,1,0.667,0.333,0.625,0.375
"family",4,2,0.667,0.333,0.643,0.357
"does",3,2,0.600,0.400,0.583,0.417
"coffee",1,0,1.000,0.000,0.750,0.250
"make",27,0,1.000,0.000,0.982,0.018
"poop",1,0,1.000,0.000,0.750,0.250
