Word,Clickbait,Non-clickbait,Clickbait probability,Non-Clickbait probability,Clickbait normal probability,Non-clickbait normal probability
"should",315,5,0.984,0.016,0.983,0.017
"i",143,8,0.947,0.053,0.944,0.056
"get",166,23,0.878,0.122,0.876,0.124
"bings",1,0,1.000,0.000,0.750,0.250
"which",451,3,0.993,0.007,0.992,0.008
"tv",66,55,0.545,0.455,0.545,0.455
"female",18,2,0.900,0.100,0.881,0.119
"friend",43,1,0.977,0.023,0.967,0.033
"group",17,60,0.221,0.779,0.224,0.776
"do",364,10,0.973,0.027,0.972,0.028
"you",2537,11,0.996,0.004,0.995,0.005
"belong",36,0,1.000,0.000,0.986,0.014
"in",1047,2447,0.300,0.700,0.300,0.700
"the",2692,757,0.781,0.219,0.780,0.220
"new",254,436,0.368,0.632,0.368,0.632
"star",103,25,0.805,0.195,0.802,0.198
"wars:",15,0,1.000,0.000,0.969,0.031
"force",29,28,0.509,0.491,0.509,0.491
"awakens",27,0,1.000,0.000,0.982,0.018
"trailer",33,0,1.000,0.000,0.985,0.015
"is",842,261,0.763,0.237,0.763,0.237
"here",62,1,0.984,0.016,0.977,0.023
"to",1713,1807,0.487,0.513,0.487,0.513
"give",63,15,0.808,0.192,0.804,0.196
"chills",3,0,1.000,0.000,0.875,0.125
"this",965,25,0.975,0.025,0.974,0.026
"vine",8,1,0.889,0.111,0.850,0.150
"of",1300,1457,0.472,0.528,0.472,0.528
"york",22,56,0.282,0.718,0.285,0.715
"on",752,709,0.515,0.485,0.515,0.485
"celebrity",72,2,0.973,0.027,0.967,0.033
"big",31,42,0.425,0.575,0.426,0.574
"brother",12,4,0.750,0.250,0.735,0.265
"fucking",36,0,1.000,0.000,0.986,0.014
"perfect",87,2,0.978,0.022,0.972,0.028
"a",1453,721,0.668,0.332,0.668,0.332
"couple",34,7,0.829,0.171,0.821,0.179
"did",48,4,0.923,0.077,0.915,0.085
"stunning",20,2,0.909,0.091,0.891,0.109
"photo",49,6,0.891,0.109,0.884,0.116
"shoot",9,8,0.529,0.471,0.528,0.472
"with",520,357,0.593,0.407,0.593,0.407
"their",260,48,0.844,0.156,0.843,0.157
"baby",51,13,0.797,0.203,0.792,0.208
"after",68,345,0.165,0.835,0.165,0.835
"learning",4,1,0.800,0.200,0.750,0.250
"she",52,2,0.963,0.037,0.955,0.045
"had",121,11,0.917,0.083,0.914,0.086
"an",211,82,0.720,0.280,0.719,0.281
"inoperable",1,0,1.000,0.000,0.750,0.250
"brain",12,6,0.667,0.333,0.658,0.342
"tumor",1,2,0.333,0.667,0.375,0.625
"how",506,18,0.966,0.034,0.965,0.035
"flirt",2,0,1.000,0.000,0.833,0.167
"queer",7,0,1.000,0.000,0.937,0.063
"girls",81,7,0.920,0.080,0.916,0.084
"without",35,17,0.673,0.327,0.670,0.330
"making",34,7,0.829,0.171,0.821,0.179
"total",11,4,0.733,0.267,0.719,0.281
"fool",2,0,1.000,0.000,0.833,0.167
"yourself",20,0,1.000,0.000,0.976,0.024
"32",22,4,0.846,0.154,0.833,0.167
"cute",48,0,1.000,0.000,0.990,0.010
"things",515,2,0.996,0.004,0.995,0.005
"distract",1,0,1.000,0.000,0.750,0.250
"from",449,270,0.624,0.376,0.624,0.376
"your",1315,27,0.980,0.020,0.980,0.020
"awkward",27,1,0.964,0.036,0.948,0.052
"thanksgiving",60,1,0.984,0.016,0.976,0.024
"if",239,7,0.972,0.028,0.970,0.030
"disney",110,6,0.948,0.052,0.944,0.056
"princesses",15,0,1.000,0.000,0.969,0.031
"were",141,8,0.946,0.054,0.943,0.057
"florida",4,42,0.087,0.913,0.096,0.904
"what's",102,1,0.990,0.010,0.986,0.014
"quote",24,0,1.000,0.000,0.980,0.020
"or",236,28,0.894,0.106,0.892,0.108
"lyric",8,0,1.000,0.000,0.944,0.056
"that",956,65,0.936,0.064,0.936,0.064
"best",251,8,0.969,0.031,0.967,0.033
"describes",4,2,0.667,0.333,0.643,0.357
"depression",29,4,0.879,0.121,0.868,0.132
"natalie",4,1,0.800,0.200,0.750,0.250
"dormer",4,0,1.000,0.000,0.900,0.100
"and",853,606,0.585,0.415,0.585,0.415
"sam",2,0,1.000,0.000,0.833,0.167
"claflin",1,0,1.000,0.000,0.750,0.250
"play",29,17,0.630,0.370,0.628,0.372
"game",100,39,0.719,0.281,0.718,0.282
"see",92,10,0.902,0.098,0.898,0.102
"they'd",1,0,1.000,0.000,0.750,0.250
"actually",318,0,1.000,0.000,0.998,0.002
"last",38,24,0.613,0.387,0.611,0.389
"hunger",12,7,0.632,0.368,0.625,0.375
"games",28,32,0.467,0.533,0.467,0.533
"16",135,13,0.912,0.088,0.909,0.091
"responses",5,0,1.000,0.000,0.917,0.083
"indian",32,38,0.457,0.543,0.458,0.542
"patriarchy",4,0,1.000,0.000,0.900,0.100
"21",352,12,0.967,0.033,0.966,0.034
"times",279,26,0.915,0.085,0.913,0.087
"died",10,8,0.556,0.444,0.553,0.447
"during",54,36,0.600,0.400,0.599,0.401
"captain",3,7,0.300,0.700,0.318,0.682
"america:",3,0,1.000,0.000,0.875,0.125
"civil",2,9,0.182,0.818,0.208,0.792
"war",6,62,0.088,0.912,0.094,0.906
"teaser",5,0,1.000,0.000,0.917,0.083
"17",366,10,0.973,0.027,0.972,0.028
"kourtney",3,0,1.000,0.000,0.875,0.125
"kardashian",27,0,1.000,0.000,0.982,0.018
"shut",14,16,0.467,0.533,0.468,0.532
"down",41,71,0.366,0.634,0.367,0.633
"her",171,15,0.919,0.081,0.917,0.083
"own",31,11,0.738,0.262,0.733,0.267
"family",44,26,0.629,0.371,0.627,0.373
"does",44,5,0.898,0.102,0.890,0.110
"coffee",18,2,0.900,0.100,0.881,0.119
"make",418,23,0.948,0.052,0.947,0.053
"poop",3,0,1.000,0.000,0.875,0.125
"who",506,43,0.922,0.078,0.921,0.079
"ex",8,1,0.889,0.111,0.850,0.150
"based",327,5,0.985,0.015,0.983,0.017
"zodiac",146,0,1.000,0.000,0.997,0.003
"hairdresser",3,0,1.000,0.000,0.875,0.125
"struggles",56,9,0.862,0.138,0.856,0.144
"every",171,1,0.994,0.006,0.991,0.009
"black",67,16,0.807,0.193,0.804,0.196
"girl",73,12,0.859,0.141,0.855,0.145
"knows",20,3,0.870,0.130,0.854,0.146
