Word,Clickbait,Non-clickbait,Clickbait probability,Non-Clickbait probability,Clickbait normal probability,Non-clickbait normal probability
"should",5,0,1.000,0.000,0.917,0.083
"i",3,0,1.000,0.000,0.875,0.125
"get",1,0,1.000,0.000,0.750,0.250
"bings",1,0,1.000,0.000,0.750,0.250
"which",5,0,1.000,0.000,0.917,0.083
"tv",1,0,1.000,0.000,0.750,0.250
"female",1,0,1.000,0.000,0.750,0.250
"friend",3,0,1.000,0.000,0.875,0.125
"group",1,1,0.500,0.500,0.500,0.500
"do",3,0,1.000,0.000,0.875,0.125
"you",15,0,1.000,0.000,0.969,0.031
"belong",1,0,1.000,0.000,0.750,0.250
"in",11,20,0.355,0.645,0.359,0.641
"the",20,4,0.833,0.167,0.820,0.180
"new",5,5,0.500,0.500,0.500,0.500
"star",2,0,1.000,0.000,0.833,0.167
"wars:",1,0,1.000,0.000,0.750,0.250
"force",1,0,1.000,0.000,0.750,0.250
"awakens",1,0,1.000,0.000,0.750,0.250
"trailer",1,0,1.000,0.000,0.750,0.250
"is",7,2,0.778,0.222,0.750,0.250
"here",1,0,1.000,0.000,0.750,0.250
"to",18,15,0.545,0.455,0.544,0.456
"give",2,0,1.000,0.000,0.833,0.167
"chills",1,0,1.000,0.000,0.750,0.250
"this",6,2,0.750,0.250,0.722,0.278
"vine",1,0,1.000,0.000,0.750,0.250
"of",13,6,0.684,0.316,0.675,0.325
"york",2,0,1.000,0.000,0.833,0.167
"on",8,6,0.571,0.429,0.567,0.433
"celebrity",2,0,1.000,0.000,0.833,0.167
"big",1,1,0.500,0.500,0.500,0.500
"brother",1,0,1.000,0.000,0.750,0.250
"fucking",1,0,1.000,0.000,0.750,0.250
"perfect",2,0,1.000,0.000,0.833,0.167
"a",12,3,0.800,0.200,0.781,0.219
"couple",1,0,1.000,0.000,0.750,0.250
"did",1,0,1.000,0.000,0.750,0.250
"stunning",1,0,1.000,0.000,0.750,0.250
"photo",1,0,1.000,0.000,0.750,0.250
"shoot",1,1,0.500,0.500,0.500,0.500
"with",5,5,0.500,0.500,0.500,0.500
"their",2,1,0.667,0.333,0.625,0.375
"baby",1,0,1.000,0.000,0.750,0.250
"after",1,2,0.333,0.667,0.375,0.625
"learning",1,0,1.000,0.000,0.750,0.250
"she",1,0,1.000,0.000,0.750,0.250
"had",1,0,1.000,0.000,0.750,0.250
"an",4,1,0.800,0.200,0.750,0.250
"inoperable",1,0,1.000,0.000,0.750,0.250
"brain",1,0,1.000,0.000,0.750,0.250
"tumor",1,0,1.000,0.000,0.750,0.250
"how",5,0,1.000,0.000,0.917,0.083
"flirt",1,0,1.000,0.000,0.750,0.250
"queer",1,0,1.000,0.000,0.750,0.250
"girls",1,0,1.000,0.000,0.750,0.250
"without",1,0,1.000,0.000,0.750,0.250
"making",1,0,1.000,0.000,0.750,0.250
"total",1,0,1.000,0.000,0.750,0.250
"fool",1,0,1.000,0.000,0.750,0.250
"yourself",1,0,1.000,0.000,0.750,0.250
"32",1,0,1.000,0.000,0.750,0.250
"cute",1,0,1.000,0.000,0.750,0.250
"things",4,0,1.000,0.000,0.900,0.100
"distract",1,0,1.000,0.000,0.750,0.250
"from",3,2,0.600,0.400,0.583,0.417
"your",11,0,1.000,0.000,0.958,0.042
"awkward",1,0,1.000,0.000,0.750,0.250
"thanksgiving",1,0,1.000,0.000,0.750,0.250
"if",1,0,1.000,0.000,0.750,0.250
"disney",1,0,1.000,0.000,0.750,0.250
"princesses",1,0,1.000,0.000,0.750,0.250
"were",1,0,1.000,0.000,0.750,0.250
"florida",1,0,1.000,0.000,0.750,0.250
"what's",1,0,1.000,0.000,0.750,0.250
"quote",1,0,1.000,0.000,0.750,0.250
"or",2,0,1.000,0.000,0.833,0.167
"lyric",1,0,1.000,0.000,0.750,0.250
"that",4,0,1.000,0.000,0.900,0.100
"best",3,0,1.000,0.000,0.875,0.125
"describes",1,0,1.000,0.000,0.750,0.250
"depression",1,0,1.000,0.000,0.750,0.250
"natalie",1,0,1.000,0.000,0.750,0.250
"dormer",1,0,1.000,0.000,0.750,0.250
"and",4,5,0.444,0.556,0.450,0.550
"sam",1,0,1.000,0.000,0.750,0.250
"claflin",1,0,1.000,0.000,0.750,0.250
"play",1,0,1.000,0.000,0.750,0.250
"game",2,2,0.500,0.500,0.500,0.500
"see",3,0,1.000,0.000,0.875,0.125
"they'd",1,0,1.000,0.000,0.750,0.250
"actually",2,0,1.000,0.000,0.833,0.167
"last",1,0,1.000,0.000,0.750,0.250
"hunger",1,0,1.000,0.000,0.750,0.250
"games",1,1,0.500,0.500,0.500,0.500
"16",2,0,1.000,0.000,0.833,0.167
"responses",1,0,1.000,0.000,0.750,0.250
"indian",1,1,0.500,0.500,0.500,0.500
"patriarchy",1,0,1.000,0.000,0.750,0.250
"21",2,0,1.000,0.000,0.833,0.167
"times",3,0,1.000,0.000,0.875,0.125
"died",1,0,1.000,0.000,0.750,0.250
"during",2,1,0.667,0.333,0.625,0.375
"captain",1,0,1.000,0.000,0.750,0.250
"america:",1,0,1.000,0.000,0.750,0.250
"civil",1,0,1.000,0.000,0.750,0.250
"war",1,1,0.500,0.500,0.500,0.500
