Word,Clickbait,Non-clickbait,Clickbait probability,Non-Clickbait probability,Clickbait normal probability,Non-clickbait normal probability
"should",2,0,1.000,0.000,0.831,0.169
"i",3,0,1.000,0.000,0.873,0.127
"get",1,0,1.000,0.000,0.746,0.254
"bings",1,0,1.000,0.000,0.746,0.254
"which",1,0,1.000,0.000,0.746,0.254
"tv",1,0,1.000,0.000,0.746,0.254
"female",1,0,1.000,0.000,0.746,0.254
"friend",2,0,1.000,0.000,0.831,0.169
"group",1,0,1.000,0.000,0.746,0.254
"do",1,0,1.000,0.000,0.746,0.254
"you",7,0,1.000,0.000,0.937,0.063
"belong",1,0,1.000,0.000,0.746,0.254
"in",6,9,0.400,0.600,0.406,0.594
"the",9,4,0.692,0.308,0.678,0.322
"new",3,4,0.429,0.571,0.437,0.563
"star",1,0,1.000,0.000,0.746,0.254
"wars:",1,0,1.000,0.000,0.746,0.254
"force",1,0,1.000,0.000,0.746,0.254
"awakens",1,0,1.000,0.000,0.746,0.254
"trailer",1,0,1.000,0.000,0.746,0.254
"is",4,2,0.667,0.333,0.642,0.358
"here",1,0,1.000,0.000,0.746,0.254
"to",13,10,0.565,0.435,0.562,0.438
"give",2,0,1.000,0.000,0.831,0.169
"chills",1,0,1.000,0.000,0.746,0.254
"this",3,2,0.600,0.400,0.582,0.418
"vine",1,0,1.000,0.000,0.746,0.254
"of",3,2,0.600,0.400,0.582,0.418
"york",1,0,1.000,0.000,0.746,0.254
"on",4,4,0.500,0.500,0.499,0.501
"celebrity",2,0,1.000,0.000,0.831,0.169
"big",1,1,0.500,0.500,0.497,0.503
"brother",1,0,1.000,0.000,0.746,0.254
"fucking",1,0,1.000,0.000,0.746,0.254
"perfect",2,0,1.000,0.000,0.831,0.169
"a",7,0,1.000,0.000,0.937,0.063
"couple",1,0,1.000,0.000,0.746,0.254
"did",1,0,1.000,0.000,0.746,0.254
"stunning",1,0,1.000,0.000,0.746,0.254
"photo",1,0,1.000,0.000,0.746,0.254
"shoot",1,0,1.000,0.000,0.746,0.254
"with",2,5,0.286,0.714,0.312,0.688
"their",2,0,1.000,0.000,0.831,0.169
"baby",1,0,1.000,0.000,0.746,0.254
"after",1,0,1.000,0.000,0.746,0.254
"learning",1,0,1.000,0.000,0.746,0.254
"she",1,0,1.000,0.000,0.746,0.254
"had",1,0,1.000,0.000,0.746,0.254
"an",2,1,0.667,0.333,0.623,0.377
"inoperable",1,0,1.000,0.000,0.746,0.254
"brain",1,0,1.000,0.000,0.746,0.254
"tumor",1,0,1.000,0.000,0.746,0.254
"how",2,0,1.000,0.000,0.831,0.169
"flirt",1,0,1.000,0.000,0.746,0.254
"queer",1,0,1.000,0.000,0.746,0.254
"girls",1,0,1.000,0.000,0.746,0.254
"without",1,0,1.000,0.000,0.746,0.254
"making",1,0,1.000,0.000,0.746,0.254
"total",1,0,1.000,0.000,0.746,0.254
"fool",1,0,1.000,0.000,0.746,0.254
"yourself",1,0,1.000,0.000,0.746,0.254
"32",1,0,1.000,0.000,0.746,0.254
"cute",1,0,1.000,0.000,0.746,0.254
"things",1,0,1.000,0.000,0.746,0.254
"distract",1,0,1.000,0.000,0.746,0.254
"from",2,1,0.667,0.333,0.623,0.377
"your",4,0,1.000,0.000,0.898,0.102
"awkward",1,0,1.000,0.000,0.746,0.254
"thanksgiving",1,0,1.000,0.000,0.746,0.254
"if",1,0,1.000,0.000,0.746,0.254
"disney",1,0,1.000,0.000,0.746,0.254
"princesses",1,0,1.000,0.000,0.746,0.254
"were",1,0,1.000,0.000,0.746,0.254
"florida",1,0,1.000,0.000,0.746,0.254
"what's",1,0,1.000,0.000,0.746,0.254
"quote",1,0,1.000,0.000,0.746,0.254
"or",2,0,1.000,0.000,0.831,0.169
"lyric",1,0,1.000,0.000,0.746,0.254
"that",1,0,1.000,0.000,0.746,0.254
"best",1,0,1.000,0.000,0.746,0.254
"describes",1,0,1.000,0.000,0.746,0.254
"depression",1,0,1.000,0.000,0.746,0.254
"natalie",1,0,1.000,0.000,0.746,0.254
"dormer",1,0,1.000,0.000,0.746,0.254
"and",2,1,0.667,0.333,0.623,0.377
"sam",1,0,1.000,0.000,0.746,0.254
"claflin",1,0,1.000,0.000,0.746,0.254
"play",1,0,1.000,0.000,0.746,0.254
"game",2,1,0.667,0.333,0.623,0.377
"see",1,0,1.000,0.000,0.746,0.254
"they'd",1,0,1.000,0.000,0.746,0.254
"actually",1,0,1.000,0.000,0.746,0.254
"last",1,0,1.000,0.000,0.746,0.254
"hunger",1,0,1.000,0.000,0.746,0.254
"games",1,1,0.500,0.500,0.497,0.503
"16",2,0,1.000,0.000,0.831,0.169
"responses",1,0,1.000,0.000,0.746,0.254
"indian",1,0,1.000,0.000,0.746,0.254
"patriarchy",1,0,1.000,0.000,0.746,0.254
"21",2,0,1.000,0.000,0.831,0.169
"times",3,0,1.000,0.000,0.873,0.127
"died",1,0,1.000,0.000,0.746,0.254
"during",1,0,1.000,0.000,0.746,0.254
"captain",1,0,1.000,0.000,0.746,0.254
"america:",1,0,1.000,0.000,0.746,0.254
"civil",1,0,1.000,0.000,0.746,0.254
"war",1,1,0.500,0.500,0.497,0.503
"teaser",1,0,1.000,0.000,0.746,0.254
"17",2,0,1.000,0.000,0.831,0.169
"kourtney",1,0,1.000,0.000,0.746,0.254
"kardashian",1,0,1.000,0.000,0.746,0.254
"shut",1,0,1.000,0.000,0.746,0.254
"down",1,0,1.000,0.000,0.746,0.254
"her",1,0,1.000,0.000,0.746,0.254
"own",1,0,1.000,0.000,0.746,0.254
"family",1,0,1.000,0.000,0.746,0.254
"does",1,1,0.500,0.500,0.497,0.503
"coffee",1,0,1.000,0.000,0.746,0.254
"make",2,0,1.000,0.000,0.831,0.169
"poop",1,0,1.000,0.000,0.746,0.254
"who",1,0,1.000,0.000,0.746,0.254
"ex",1,0,1.000,0.000,0.746,0.254
"based",1,0,1.000,0.000,0.746,0.254
"zodiac",1,0,1.000,0.000,0.746,0.254
"hairdresser",1,0,1.000,0.000,0.746,0.254
"struggles",1,0,1.000,0.000,0.746,0.254
"every",2,0,1.000,0.000,0.831,0.169
"black",1,0,1.000,0.000,0.746,0.254
"girl",1,0,1.000,0.000,0.746,0.254
"knows",1,0,1.000,0.000,0.746,0.254
"be",2,1,0.667,0.333,0.623,0.377
"true",1,0,1.000,0.000,0.746,0.254
"are",3,0,1.000,0.000,0.873,0.127
"more",1,0,1.000,0.000,0.746,0.254
"walter",1,0,1.000,0.000,0.746,0.254
"white",1,1,0.500,0.500,0.497,0.503
"heisenberg",1,0,1.000,0.000,0.746,0.254
"most",1,0,1.000,0.000,0.746,0.254
"canadian",1,0,1.000,0.000,0.746,0.254
"groom",1,0,1.000,0.000,0.746,0.254
"ever",1,0,1.000,0.000,0.746,0.254
"left",1,0,1.000,0.000,0.746,0.254
"his",5,0,1.000,0.000,0.915,0.085
"wedding",1,0,1.000,0.000,0.746,0.254
"plow",1,0,1.000,0.000,0.746,0.254
"out",1,0,1.000,0.000,0.746,0.254
"guests",1,0,1.000,0.000,0.746,0.254
"snow",1,0,1.000,0.000,0.746,0.254
"storm",1,1,0.500,0.500,0.497,0.503
"here's",1,0,1.000,0.000,0.746,0.254
"one",1,1,0.500,0.500,0.497,0.503
"really",1,0,1.000,0.000,0.746,0.254
"weird",1,0,1.000,0.000,0.746,0.254
"thing",2,0,1.000,0.000,0.831,0.169
"about",3,0,1.000,0.000,0.873,0.127
"butterfree",1,0,1.000,0.000,0.746,0.254
"15",1,0,1.000,0.000,0.746,0.254
"resolutions",1,0,1.000,0.000,0.746,0.254
"good",1,0,1.000,0.000,0.746,0.254
"2016",2,0,1.000,0.000,0.831,0.169
"what",1,0,1.000,0.000,0.746,0.254
"try",1,0,1.000,0.000,0.746,0.254
"zoo",1,0,1.000,0.000,0.746,0.254
"animals",1,0,1.000,0.000,0.746,0.254
"around",1,0,1.000,0.000,0.746,0.254
"world",1,0,1.000,0.000,0.746,0.254
"opening",1,0,1.000,0.000,0.746,0.254
"christmas",1,0,1.000,0.000,0.746,0.254
"presents",1,0,1.000,0.000,0.746,0.254
"early",1,0,1.000,0.000,0.746,0.254
"tell",1,0,1.000,0.000,0.746,0.254
"us",1,4,0.200,0.800,0.249,0.751
"yourself(ie):",1,0,1.000,0.000,0.746,0.254
"erica",1,0,1.000,0.000,0.746,0.254
"ash",1,0,1.000,0.000,0.746,0.254
"9",1,0,1.000,0.000,0.746,0.254
"cried",1,0,1.000,0.000,0.746,0.254
"vegetarian",1,0,1.000,0.000,0.746,0.254
"dump",1,0,1.000,0.000,0.746,0.254
"dinners",1,0,1.000,0.000,0.746,0.254
"for",1,5,0.167,0.833,0.213,0.787
"crock",1,0,1.000,0.000,0.746,0.254
"pot",1,0,1.000,0.000,0.746,0.254
"goat",1,0,1.000,0.000,0.746,0.254
"has",1,0,1.000,0.000,0.746,0.254
"been",1,0,1.000,0.000,0.746,0.254
"bullying",1,0,1.000,0.000,0.746,0.254
"tiger",1,0,1.000,0.000,0.746,0.254
"8",1,0,1.000,0.000,0.746,0.254
"fall",1,0,1.000,0.000,0.746,0.254
"shows",1,0,1.000,0.000,0.746,0.254
"excited",1,0,1.000,0.000,0.746,0.254
"10",1,0,1.000,0.000,0.746,0.254
"chance",1,0,1.000,0.000,0.746,0.254
"6",1,0,1.000,0.000,0.746,0.254
"avoid",1,0,1.000,0.000,0.746,0.254
"another",1,0,1.000,0.000,0.746,0.254
"round",1,0,1.000,0.000,0.746,0.254
"episode",1,0,1.000,0.000,0.746,0.254
"25:",1,0,1.000,0.000,0.746,0.254
"stop",1,0,1.000,0.000,0.746,0.254
"telling",1,0,1.000,0.000,0.746,0.254
"women",1,0,1.000,0.000,0.746,0.254
"smile",1,0,1.000,0.000,0.746,0.254
"signs",1,0,1.000,0.000,0.746,0.254
"too",1,0,1.000,0.000,0.746,0.254
"stubborn",1,0,1.000,0.000,0.746,0.254
"live",1,0,1.000,0.000,0.746,0.254
"country",1,0,1.000,0.000,0.746,0.254
"singer",1,0,1.000,0.000,0.746,0.254
"makes",1,1,0.500,0.500,0.497,0.503
"music",1,0,1.000,0.000,0.746,0.254
"boy",1,0,1.000,0.000,0.746,0.254
"spare",1,0,1.000,0.000,0.746,0.254
"time",1,1,0.500,0.500,0.497,0.503
"when",1,0,1.000,0.000,0.746,0.254
"realize",1,0,1.000,0.000,0.746,0.254
"guy",1,0,1.000,0.000,0.746,0.254
"taken",1,0,1.000,0.000,0.746,0.254
"awesome",1,0,1.000,0.000,0.746,0.254
"look",1,0,1.000,0.000,0.746,0.254
"at",1,0,1.000,0.000,0.746,0.254
"behind-the-scenes",1,0,1.000,0.000,0.746,0.254
"concept",1,0,1.000,0.000,0.746,0.254
"art",1,0,1.000,0.000,0.746,0.254
"aladdin",1,0,1.000,0.000,0.746,0.254
"bill",0,1,0.000,1.000,0.246,0.754
"changing",0,1,0.000,1.000,0.246,0.754
"credit",0,2,0.000,1.000,0.164,0.836
"card",0,2,0.000,1.000,0.164,0.836
"rules",0,1,0.000,1.000,0.246,0.754
"sent",0,1,0.000,1.000,0.246,0.754
"obama",0,2,0.000,1.000,0.164,0.836
"gun",0,1,0.000,1.000,0.246,0.754
"measure",0,1,0.000,1.000,0.246,0.754
"included",0,1,0.000,1.000,0.246,0.754
"hollywood",0,1,0.000,1.000,0.246,0.754
"easy-money",0,1,0.000,1.000,0.246,0.754
"generation",0,1,0.000,1.000,0.246,0.754
"toughens",0,1,0.000,1.000,0.246,0.754
"up",0,1,0.000,1.000,0.246,0.754
"1700",0,1,0.000,1.000,0.246,0.754
"runners",0,1,0.000,1.000,0.246,0.754
"still",0,1,0.000,1.000,0.246,0.754
"unaccounted",0,1,0.000,1.000,0.246,0.754
"uk's",0,2,0.000,1.000,0.164,0.836
"lake",0,1,0.000,1.000,0.246,0.754
"district",0,1,0.000,1.000,0.246,0.754
"following",0,1,0.000,1.000,0.246,0.754
"flood",0,1,0.000,1.000,0.246,0.754
"yankees",0,1,0.000,1.000,0.246,0.754
"pitchers",0,1,0.000,1.000,0.246,0.754
"trade",0,1,0.000,1.000,0.246,0.754
"fielding",0,1,0.000,1.000,0.246,0.754
"drills",0,1,0.000,1.000,0.246,0.754
"putting",0,1,0.000,1.000,0.246,0.754
"practice",0,1,0.000,1.000,0.246,0.754
"large",0,1,0.000,1.000,0.246,0.754
"earthquake",0,1,0.000,1.000,0.246,0.754
"rattles",0,1,0.000,1.000,0.246,0.754
"indonesia;",0,1,0.000,1.000,0.246,0.754
"seventh",0,1,0.000,1.000,0.246,0.754
"two",0,2,0.000,1.000,0.164,0.836
"days",0,1,0.000,1.000,0.246,0.754
"coldplay's",0,1,0.000,1.000,0.246,0.754
"album",0,1,0.000,1.000,0.246,0.754
"hits",0,1,0.000,1.000,0.246,0.754
"stores",0,1,0.000,1.000,0.246,0.754
"worldwide",0,1,0.000,1.000,0.246,0.754
"week",0,1,0.000,1.000,0.246,0.754
"u.n.",0,1,0.000,1.000,0.246,0.754
"leader",0,1,0.000,1.000,0.246,0.754
"presses",0,1,0.000,1.000,0.246,0.754
"sri",0,1,0.000,1.000,0.246,0.754
"lanka",0,1,0.000,1.000,0.246,0.754
"speeding",0,1,0.000,1.000,0.246,0.754
"relief",0,1,0.000,1.000,0.246,0.754
"refugees",0,1,0.000,1.000,0.246,0.754
"camps",0,1,0.000,1.000,0.246,0.754
"2",0,1,0.000,1.000,0.246,0.754
"somali-americans",0,1,0.000,1.000,0.246,0.754
"charged",0,1,0.000,1.000,0.246,0.754
"aiding",0,1,0.000,1.000,0.246,0.754
"terror",0,1,0.000,1.000,0.246,0.754
"highway",0,1,0.000,1.000,0.246,0.754
"administration",0,1,0.000,1.000,0.246,0.754
"releases",0,1,0.000,1.000,0.246,0.754
"interim",0,1,0.000,1.000,0.246,0.754
"report",0,2,0.000,1.000,0.164,0.836
"boston's",0,1,0.000,1.000,0.246,0.754
"dig:",0,1,0.000,1.000,0.246,0.754
"press",0,1,0.000,1.000,0.246,0.754
"release",0,1,0.000,1.000,0.246,0.754
"claims",0,1,0.000,1.000,0.246,0.754
