Word,Clickbait,Non-clickbait,Clickbait probability,Non-Clickbait probability,Clickbait normal probability,Non-clickbait normal probability
"should",7,0,1.000,0.000,0.937,0.063
"i",4,0,1.000,0.000,0.900,0.100
"get",4,1,0.800,0.200,0.750,0.250
"bings",1,0,1.000,0.000,0.749,0.251
"which",7,0,1.000,0.000,0.937,0.063
"tv",1,0,1.000,0.000,0.749,0.251
"female",1,0,1.000,0.000,0.749,0.251
"friend",3,0,1.000,0.000,0.875,0.125
"group",1,1,0.500,0.500,0.499,0.501
"do",8,0,1.000,0.000,0.944,0.056
"you",34,0,1.000,0.000,0.986,0.014
"belong",1,0,1.000,0.000,0.749,0.251
"in",17,37,0.315,0.685,0.318,0.682
"the",40,11,0.784,0.216,0.779,0.221
"new",7,11,0.389,0.611,0.395,0.605
"star",3,1,0.750,0.250,0.700,0.300
"wars:",1,0,1.000,0.000,0.749,0.251
"force",1,1,0.500,0.500,0.499,0.501
"awakens",1,0,1.000,0.000,0.749,0.251
"trailer",1,0,1.000,0.000,0.749,0.251
"is",13,4,0.765,0.235,0.750,0.250
"here",2,0,1.000,0.000,0.833,0.167
"to",35,36,0.493,0.507,0.493,0.507
"give",3,0,1.000,0.000,0.875,0.125
"chills",1,0,1.000,0.000,0.749,0.251
"this",13,2,0.867,0.133,0.844,0.156
"vine",1,0,1.000,0.000,0.749,0.251
"of",25,16,0.610,0.390,0.607,0.393
"york",2,3,0.400,0.600,0.416,0.584
"on",11,11,0.500,0.500,0.500,0.500
"celebrity",2,0,1.000,0.000,0.833,0.167
"big",1,1,0.500,0.500,0.499,0.501
"brother",1,0,1.000,0.000,0.749,0.251
"fucking",1,0,1.000,0.000,0.749,0.251
"perfect",3,0,1.000,0.000,0.875,0.125
"a",25,8,0.758,0.242,0.750,0.250
"couple",1,0,1.000,0.000,0.749,0.251
"did",2,0,1.000,0.000,0.833,0.167
"stunning",1,0,1.000,0.000,0.749,0.251
